company,link,location,title
ViTrox Corporation Bhd / ViE Technologies Sdn Bhd,http://www.jobstreet.com.my/en/job/sr-mechanical-engineer-3090388?fr=21&src=16&srcr=16,Bayan Lepas (Penang) - Bayan Lepas Industrial Area,Sr. Mechanical Engineer
Yew Hoong Sofa Products (M) Sdn Bhd,http://www.jobstreet.com.my/en/job/product-designer-3089817?fr=21&src=16&srcr=16,Selangor - SEMENYIH,Product Designer
Ryco Hydraulics Sdn Bhd,http://www.jobstreet.com.my/en/job/process-engineer-3089115?fr=21&src=16&srcr=16,Kedah,Process Engineer
Koma Kogyo (M) Sdn Bhd,http://www.jobstreet.com.my/en/job/cnc-machinist-others-position-3086759?fr=21&src=16&srcr=16,Penang - Juru (Near Auto CIty Penang),"CNC Machinist, Others Position"
Cohu Malaysia Sdn Bhd,http://www.jobstreet.com.my/en/job/electrical-design-engineer-3085812?fr=21&src=16&srcr=16,Melaka,Electrical Design Engineer
Cohu Malaysia Sdn Bhd,http://www.jobstreet.com.my/en/job/feeding-engineer-3085741?fr=21&src=16&srcr=16,Melaka,Feeding Engineer
SCK Automation Sdn. Bhd.,http://www.jobstreet.com.my/en/job/mechanical-design-engineer-3085596?fr=21&src=16&srcr=16,Penang,Mechanical Design Engineer
Bridgestone Engineered Products Of Asia Sdn Bhd,http://www.jobstreet.com.my/en/job/junior-engineer-3082472?fr=21&src=16&srcr=16,Kuala Lumpur,Junior Engineer
Mackenzie Industries Sdn Bhd,http://www.jobstreet.com.my/jobs/2016/8/default/10/3052948.htm?fr=21&src=16&srcr=16,"Selangor - Jalan Bukit Kemuning, Shah Alam",Internship for Engineering Students
ALTAIR ENGINEERING SDN. BHD.,http://www.jobstreet.com.my/jobs/2016/8/default/10/3033177.htm?fr=21&src=16&srcr=16,Kuala Lumpur - Plaza Sentral,Internship for Mechanical Engineering Students
Nusapetro Sdn Bhd (BC Petrochemical Sdn Bhd),http://www.jobstreet.com.my/jobs/2016/5/default/10/2949889.htm?fr=21&src=16&srcr=16,Kuala Lumpur,Internship for Architecture / Urban Studies Students
LEDtronics Sdn Bhd,http://www.jobstreet.com.my/en/job/sales-project-enginner-3110416?fr=21&src=16&srcr=16,Selangor,Sales & Project Enginner
Sensata Technologies (M) Sdn Bhd,http://www.jobstreet.com.my/en/job/newproduct-development-engineer-3109378?fr=21&src=16&srcr=16,Selangor,NewProduct Development Engineer
JTE Recruit Pte Ltd,http://www.jobstreet.com.my/en/job/mechanical-design-engineer-factory-automation-up-4000-5-days-2-5-yrs-exp-5514142/origin/sg?fr=21&src=16&srcr=16,West (Singapore),Mechanical Design Engineer (Factory Automation / UP $4000 / 5 Days / 2-5 Yrs Exp
RecruitPlus Consulting Pte Ltd,http://www.jobstreet.com.my/en/job/life-cycle-engineer-up-to-4000-aws-vb-5513269/origin/sg?fr=21&src=16&srcr=16,"Jurong East (West, Singapore)","Life Cycle Engineer, Up to $4000 + AWS + VB"
FSM Technologies (M) Sdn Bhd,http://www.jobstreet.com.my/en/job/assistant-engineer-3104769?fr=21&src=16&srcr=16,Johor,ASSISTANT ENGINEER
Flextronics,http://www.jobstreet.com.my/en/job/manufacturing-engineer-powder-coating-bayan-lepas-3107970?fr=21&src=16&srcr=16,Penang - Bayan Lepas,Manufacturing Engineer (Powder Coating) - Bayan Lepas
LEADMAN PRECISION ENGINEERING SDN BHD (422602-K),http://www.jobstreet.com.my/en/job-search/job-classified-ads.php?gjid=18148719,Penang,DESIGNER / DRAFTSMAN
Industrial Minerva Sdn Bhd,http://www.jobstreet.com.my/en/job/instrumentation-engineer-service-projects-3105991?fr=21&src=16&srcr=16,Selangor,INSTRUMENTATION ENGINEER  (Service & Projects)
CareerMaster Sdn Bhd,http://www.jobstreet.com.my/en/job/graphic-designer-product-designer-junior-senior-3107259?fr=21&src=16&srcr=16,"Johor, Kuala Lumpur, Putrajaya, Selangor",Graphic Designer / Product Designer (Junior / Senior)
Veeco Asia Pte Ltd,http://www.jobstreet.com.sg/en/job/project-engineer-5481573?fr=21&src=16&srcr=16,West,Project Engineer
TODAY'S CAREER PTE. LTD.,http://www.jobstreet.com.sg/en/job/new-product-introduction-engineer-mechanical-mfg-5-days-sso-101014-5499948?fr=21&src=16&srcr=16,"East, Kallang (Central)",New Product Introduction Engineer (Mechanical / Mfg / 5 days) (SSO 101014)
RecruitPlus Consulting Pte Ltd,http://www.jobstreet.com.sg/en/job/pqs-engineer-up-to-4000-aws-vb-5507171?fr=21&src=16&srcr=16,West (Singapore),"PQS Engineer, up to $4000 + AWS + VB"
RecruitPlus Consulting Pte Ltd,http://www.jobstreet.com.sg/en/job/life-cycle-engineer-up-to-4000-aws-vb-5507105?fr=21&src=16&srcr=16,West (Singapore),"Life Cycle Engineer, up to $4000 + AWS + VB"
DORMA PRODUCTION GMBH & CO KG,http://www.jobstreet.com.sg/en/job/systems-engineer-senior-5494510?fr=21&src=16&srcr=16,West,Systems Engineer / Senior
Singapore Valve & Fitting Pte Ltd,http://www.jobstreet.com.sg/en/job/project-engineerassistant-engineer-5506019?fr=21&src=16&srcr=16,North - Mandai Estate,Project Engineer / Assistant Engineer
Nanyang Technological University,http://www.jobstreet.com.sg/en/job/seniorexecutive-vr-modelling-and-animation-160000bj-5505458?fr=21&src=16&srcr=16,Singapore - Singapore,Senior / Executive (VR Modelling and Animation) - (160000BJ)
Nanyang Technological University,http://www.jobstreet.com.sg/en/job/senior-executive-vr-interaction-160000bi-5505457?fr=21&src=16&srcr=16,Singapore - Singapore,Senior / Executive (VR Interaction) - (160000BI)
Mega Plus Technology Pte Ltd,http://www.jobstreet.com.sg/en/job/mechanical-designer-automation-machines-5504168?fr=21&src=16&srcr=16,West,Mechanical Designer (Automation Machines)
PMET Strategy Resources Pte Ltd,http://www.jobstreet.com.sg/en/job/lead-engineer-for-new-product-introduction-5495015?fr=21&src=16&srcr=16,Kallang (Central),Lead Engineer for New Product Introduction
HOPE Technik Pte Ltd,http://www.jobstreet.com.sg/en/job/engineer-automotive-5478489?fr=21&src=16&srcr=16,West,ENGINEER (AUTOMOTIVE)
LEXMAR Engineering Pte Ltd,http://www.jobstreet.com.sg/en/job/mechanical-design-engineer-structural-5475796?fr=21&src=16&srcr=16,East - Loyang,Mechanical Design Engineer (Structural)
LEXMAR Engineering Pte Ltd,http://www.jobstreet.com.sg/en/job/mechanical-design-engineer-5475784?fr=21&src=16&srcr=16,East - Loyang,Mechanical Design Engineer
ST Electronics (Satcom & Sensor Systems) Pte Ltd,http://www.jobstreet.com.sg/en/job/process-engineer-ref-sssaec01-5475622?fr=21&src=16&srcr=16,Singapore,Process Engineer - Ref: SSS / AEC / 01
National University of Singapore,http://www.jobstreet.com.sg/en/job/research-engineer-for-green-data-centre-thermal-management-004au-5475410?fr=21&src=16&srcr=16,Singapore - Singapore,Research Engineer for Green Data Centre Thermal Management - (004AU)
PMET Strategy Resources Pte Ltd,http://www.jobstreet.com.sg/en/job/lead-engineer-for-new-product-introduction-5489616?fr=21&src=16&srcr=16,Kallang (Central),Lead Engineer for New Product Introduction
PMET Strategy Resources Pte Ltd,http://www.jobstreet.com.sg/en/job/project-engineer-hydraulics-5475936?fr=21&src=16&srcr=16,West,Project Engineer  (Hydraulics)
Talent Trader Group Pte Ltd,http://www.jobstreet.com.sg/en/job/technical-manager-manufacturing-semicon-5501982?fr=21&src=16&srcr=16,Singapore,Technical Manager (Manufacturing / Semicon)
Talent Trader Group Pte Ltd,http://www.jobstreet.com.sg/en/job/production-engineer-metal-die-casting-precision-aerospace-manufacturing-5502308?fr=21&src=16&srcr=16,Singapore,Production Engineer (Metal / Die Casting / Precision / Aerospace / Manufacturing)
Hays,http://www.jobstreet.com.sg/en/job/lead-design-engineer-mechanical-5502118?fr=21&src=16&srcr=16,Singapore - Singapore,Lead Design Engineer (Mechanical)
HFB Technologies (M) Sdn Bhd,http://www.jobstreet.com.my/en/job/cad-cam-engineer-3106297?fr=21&src=16&srcr=16,Johor,CAD CAM Engineer
Company Confidential,http://www.jobstreet.com.my/en/job/head-of-dies-engineering-department-3099356?fr=21&src=16&srcr=16,Selangor,Head of Dies Engineering Department
Teknion Furniture Systems (M) Sdn Bhd,http://www.jobstreet.com.my/en/job/technical-specialist-executive-3105523?fr=21&src=16&srcr=16,Selangor,Technical Specialist Executive
Easy Pack Machinery Sdn Bhd,http://www.jobstreet.com.my/en/job/mechanical-design-engineer-rm3000-3105466?fr=21&src=16&srcr=16,Penang - Science Park,Mechanical Design Engineer  (RM3000)
Likom Group,http://www.jobstreet.com.my/en/job/mechanical-engineer-3105200?fr=21&src=16&srcr=16,Melaka,Mechanical Engineer
Agilent Technologies LDA Malaysia Sdn. Bhd.,http://www.jobstreet.com.my/en/job/machined-part-cost-modeling-engineer-expert-2068112-3090831?fr=21&src=16&srcr=16,Penang,Machined Part Cost Modeling Engineer – Expert - 2068112
RecruitPlus Consulting Pte Ltd,http://www.jobstreet.com.my/en/job/pqs-engineer-up-to-4000-aws-vb-5507171/origin/sg?fr=21&src=16&srcr=16,West (Singapore),"PQS Engineer, up to $4000 + AWS + VB"
RecruitPlus Consulting Pte Ltd,http://www.jobstreet.com.my/en/job/life-cycle-engineer-up-to-4000-aws-vb-5507105/origin/sg?fr=21&src=16&srcr=16,West (Singapore),"Life Cycle Engineer, up to $4000 + AWS + VB"
HVAC EXPERTS (M) SDN BHD (675866-T),http://www.jobstreet.com.my/en/job-search/job-classified-ads.php?gjid=18132186,Selangor,HVAC Designer
Ben Sen Engineering Co,http://www.jobstreet.com.my/en/job/draftsman-3095864?fr=21&src=16&srcr=16,Selangor - Batu Caves,Draftsman
VENTIONEX TECHNOLOGIES SDN BHD,http://www.jobstreet.com.my/en/job/product-engineer-3104174?fr=21&src=16&srcr=16,Johor,Product Engineer
OSRAM Opto Semiconductors (Malaysia) Sdn Bhd,http://www.jobstreet.com.my/en/job/assistant-engineertechnicianapplication-enginnering-simulation-modeling-3101836?fr=21&src=16&srcr=16,Penang - Bayan Lepas,"Assistant Engineer / Technician,Application Enginnering (Simulation & Modeling)"
HVAC EXPERTS (M) SDN BHD,http://www.jobstreet.com.my/en/job-search/job-classified-ads.php?gjid=18109805,Selangor,HVAC Designer
Sky Component Mfg Sdn Bhd,http://www.jobstreet.com.my/en/job/mechanical-drafter-3100946?fr=21&src=16&srcr=16,Johor - Gelang Patah,Mechanical Drafter
Agilent Technologies LDA Malaysia Sdn. Bhd.,http://www.jobstreet.com.my/en/job/for-mechanical-engineering-students-3100707?fr=21&src=16&srcr=16,Penang,Internship for Mechanical Engineering Students
American Air Filter Manufacturing Sdn. Bhd.,http://www.jobstreet.com.my/en/job/electrical-engineer-3100395?fr=21&src=16&srcr=16,Selangor,Electrical Engineer
Saxco Marketing Sdn Bhd,http://www.jobstreet.com.my/en/job/electronic-engineer-3100326?fr=21&src=16&srcr=16,"Penang, Selangor",ELECTRONIC ENGINEER
Festo Sdn Berhad,http://www.jobstreet.com.my/en/job/application-mechanical-design-engineer-3099503?fr=21&src=16&srcr=16,Selangor,Application & Mechanical Design Engineer
Leaderart Industries (M) Sdn Bhd,http://www.jobstreet.com.my/en/job/rd-engineer-executive-3099353?fr=21&src=16&srcr=16,Johor - Tampoi,R&D Engineer /  Executive
Oceaneering Services (Malaysia) Sdn Bhd.,http://www.jobstreet.com.my/en/job/engineer-3098558?fr=21&src=16&srcr=16,Kuala Lumpur,Engineer
"New City Builders, Inc.",http://www.jobstreet.com.ph/en/job/autocad-operator-6742988?fr=21&src=16&srcr=16,National Capital Reg,AutoCad Operator
Arcjoinery International Inc,http://www.jobstreet.com.ph/en/job/autocad-designer-drafter-and-3d-renderer-6718586?fr=21&src=16&srcr=16,National Capital Reg,Autocad Designer Drafter and 3D Renderer
"ANDREWS MANPOWER CONSULTING, INC.",http://www.jobstreet.com.ph/en/job/draftsman-autocad-6741600?fr=21&src=16&srcr=16,Qatar - DOHA,DRAFTSMAN AUTOCAD
VHS Philippines Ltd.,http://www.jobstreet.com.ph/en/job/autocad-operator-6740274?fr=21&src=16&srcr=16,National Capital Reg - Makati City,Autocad Operator
FEMEX RECRUITMENT AGENCY INC,http://www.jobstreet.com.ph/en/job/autocad-draftsman-alkhobar-6739542?fr=21&src=16&srcr=16,Saudi Arabia - AL KHOBAR,AUTOCAD DRAFTSMAN-ALKHOBAR
FEMEX RECRUITMENT AGENCY INC,http://www.jobstreet.com.ph/en/job/autocad-draftsman-6739529?fr=21&src=16&srcr=16,Saudi Arabia - Riyadh,AUTOCAD DRAFTSMAN
Company Confidential,http://www.jobstreet.com.ph/en/job/autocad-operator-6739177?fr=21&src=16&srcr=16,Saudi Arabia - Riyadh,AutoCAD Operator
ASIA SYSTEM INC.,http://www.jobstreet.com.ph/en/job/autocad-6738626?fr=21&src=16&srcr=16,Kuwait - JAHRA,AUTOCAD
Vectron Trade,http://www.jobstreet.com.ph/en/job/autocad-designer-6717664?fr=21&src=16&srcr=16,Manila City  (National Capital Reg) - makati,AutoCad Designer
LBP Service Corporation,http://www.jobstreet.com.ph/en/job/autocad-operator-6737006?fr=21&src=16&srcr=16,Quezon City  (National Capital Reg) - East Ave.,Autocad Operator
CENTURY HIGH HR INC,http://www.jobstreet.com.ph/en/job/autocad-6736619?fr=21&src=16&srcr=16,Qatar - Doha,AUTOCAD
EMAPTA Versatile Services Inc.,http://www.jobstreet.com.ph/en/job/autocad-2d-3d-designer-6736285?fr=21&src=16&srcr=16,"National Capital Reg - 377 Sen. Gil J. Puyat Avenue, Makati, NCR, PH",AutoCAD 2D / 3D Designer
L.C. MANPOWER EXPERTISE CORPORATION,http://www.jobstreet.com.ph/en/job/autocad-draftsman-6735192?fr=21&src=16&srcr=16,Saudi Arabia - Riyadh,AUTOCAD DRAFTSMAN
A & C INTERNATIONAL RESOURCES INC,http://www.jobstreet.com.ph/en/job/autocad-draftsman-6732806?fr=21&src=16&srcr=16,Saudi Arabia - RIYADH,Autocad Draftsman
Vectron Trade,http://www.jobstreet.com.ph/en/job/autocad-designer-6717797?fr=21&src=16&srcr=16,Makati City  (National Capital Reg) - makati,AutoCad Designer
A.G. ARAJA CONSTRUCTION AND DEVELOPMENT CORP.,http://www.jobstreet.com.ph/en/job/autocad-operator-quantity-surveyor-6729024?fr=21&src=16&srcr=16,Laguna (Others) (Calabarzon & Mimaropa) - Sta. Rosa City,AutoCAD Operator & Quantity Surveyor
"Kinetic Philippines Electrical Construction, Inc.",http://www.jobstreet.com.ph/en/job/autocad-operator-6728850?fr=21&src=16&srcr=16,National Capital Reg,AUTOCAD OPERATOR
VALESCO SMS (STRATEGIC MANPOWER SOLUTIONS) INC,http://www.jobstreet.com.ph/en/job/autocad-operator-electrical-6728509?fr=21&src=16&srcr=16,Equatorial Guinea,AUTOCAD OPERATOR (ELECTRICAL)
PEAK MANPOWER RESOURCES,http://www.jobstreet.com.ph/en/job/autocad-draftsman-6728451?fr=21&src=16&srcr=16,Saudi Arabia - Riyadh,AUTOCAD DRAFTSMAN
ASIA SYSTEM INC.,http://www.jobstreet.com.ph/en/job/productions-draftsman-autocad-designer-6727505?fr=21&src=16&srcr=16,Kuwait - SALMIYA,PRODUCTIONS DRAFTSMAN - AUTOCAD DESIGNER
Hays,http://www.jobstreet.com.sg/en/job/lead-design-engineer-mechanical-5501993?fr=21&src=16&srcr=16,Singapore - Singapore,Lead Design Engineer (Mechanical)
RECRUIT EXPRESS PTE LTD,http://www.jobstreet.com.sg/en/job/engineering-assistant-25k-process-improvement-5501535?fr=21&src=16&srcr=16,Central,"Engineering Assistant ($2.5k, Process Improvement)"
Career Express Pte Ltd,http://www.jobstreet.com.sg/en/job/it-technical-support-consultant-it-solutions-apac-5501321?fr=21&src=16&srcr=16,Central,"IT Technical Support Consultant, IT Solutions, APAC"
West Pharmaceutical Services Singapore Pte Ltd,http://www.jobstreet.com.sg/en/job/maintenance-engineer-5472001?fr=21&src=16&srcr=16,West,Maintenance Engineer
Michael Page International Pte Ltd,http://www.jobstreet.com.sg/en/job/regional-account-manager-manufacturingautomation-5498412?fr=21&src=16&srcr=16,Singapore,Regional Account Manager - Manufacturing / Automation
Ecsal Technologies Pte Ltd,http://www.jobstreet.com.sg/en/job/assistantmechanical-design-engineers-5469264?fr=21&src=16&srcr=16,North-East,Assistant / Mechanical Design Engineers
Korvis Automation Asia Pte Ltd,http://www.jobstreet.com.sg/en/job/mechanical-design-engineer-5468803?fr=21&src=16&srcr=16,North,Mechanical Design Engineer
TODAY'S CAREER PTE. LTD.,http://www.jobstreet.com.sg/en/job/process-engineer-npi-mechanical-5-days-sso-011003-5480265?fr=21&src=16&srcr=16,East - Kallang / Lavender,Process Engineer (NPI / Mechanical / 5 days) (SSO 011003)
Nutek Pte Ltd,http://www.jobstreet.com.sg/en/job/mechanical-engineer-5459864?fr=21&src=16&srcr=16,West - Joo Koon,Mechanical Engineer
Redwood Interior Pte Ltd,http://www.jobstreet.com.sg/en/job/facade-technical-manager-5446593?fr=21&src=16&srcr=16,North,Façade Technical Manager
GMP Technologies – Engineering,http://www.jobstreet.com.sg/en/job/fluid-dynamics-mechanical-engineer-rd-aerodynamics-thermodynamics-cfd-5494612?fr=21&src=16&srcr=16,Central,"Fluid Dynamics / Mechanical Engineer (R&D, aerodynamics, thermodynamics, CFD)"
SICK Product Center Asia Pte Ltd,http://www.jobstreet.com.sg/en/job/production-engineer-5467126?fr=21&src=16&srcr=16,North,Production Engineer
SICK Product Center Asia Pte Ltd,http://www.jobstreet.com.sg/en/job/rd-mechanical-engineer-div-2-5467119?fr=21&src=16&srcr=16,North,R&D Mechanical Engineer (Div 2)
Panasonic Asia Pacific Pte Ltd,http://www.jobstreet.com.sg/en/job/rd-senior-engineer-mechanical-design-5467050?fr=21&src=16&srcr=16,"Tuas (West, Singapore)",R&D Senior / Engineer (Mechanical Design)
Temp-Team Pte Ltd,http://www.jobstreet.com.sg/en/job/mechanical-design-engineer-east-offshorediving-rll-5492089?fr=21&src=16&srcr=16,East,Mechanical Design Engineer @East (Offshore / Diving) R:LL
PMET Strategy Resources Pte Ltd,http://www.jobstreet.com.sg/en/job/lead-engineer-for-new-product-introduction-5480516?fr=21&src=16&srcr=16,Kallang (Central),Lead Engineer for New Product Introduction
Talent Trader Group Pte Ltd,http://www.jobstreet.com.sg/en/job/technical-manager-manufacturing-semicon-5489307?fr=21&src=16&srcr=16,Singapore,Technical Manager (Manufacturing / Semicon)
Hays,http://www.jobstreet.com.sg/en/job/fluid-dynamicist-new-product-development-5485205?fr=21&src=16&srcr=16,Singapore - Singapore,Fluid Dynamicist - New Product Development
Capita Engineering,http://www.jobstreet.com.sg/en/job/mechanical-design-engineer-automation-industry-dnh-5484757?fr=21&src=16&srcr=16,Central,Mechanical Design Engineer (Automation Industry) - DNH
STAR Recruitment Pte Ltd,http://www.jobstreet.com.sg/en/job/mechanical-design-engineer-plastic-injection-molding-high-basic-mnc-5482652?fr=21&src=16&srcr=16,Central,Mechanical / Design Engineer / Plastic Injection Molding / High Basic / MNC
WORLD VISION INTL HUMAN RESOURCES INC,http://www.jobstreet.com.ph/en/job/autocad-operator-3d-infrastructureroad-works-6727254?fr=21&src=16&srcr=16,Qatar - Doha,AutoCAD Operator 3D (Infrastructure / Road Works)
"ANKOR MANAGEMENT SERVICES AND CONSULTANTS, INC.",http://www.jobstreet.com.ph/en/job/autocad-draftsman-6725149?fr=21&src=16&srcr=16,Saudi Arabia - RIYADH,AUTOCAD DRAFTSMAN
"GBMLT Manpower Services, Inc.",http://www.jobstreet.com.ph/en/job/autocad-draftsman-6725142?fr=21&src=16&srcr=16,Saudi Arabia - RIYADH,AUTOCAD DRAFTSMAN
"GBMLT Manpower Services, Inc.",http://www.jobstreet.com.ph/en/job/autocad-draftsman-furniture-designer-6725146?fr=21&src=16&srcr=16,Saudi Arabia - RIYADH,AUTOCAD DRAFTSMAN - (furniture-designer)
A & W INTERNATIONAL MANPOWER SERVICES SPECIALIST,http://www.jobstreet.com.ph/en/job/autocad-estimator-facade-designer-6724057?fr=21&src=16&srcr=16,Saudi Arabia - Jeddah,AUTOCAD - ESTIMATOR (Facade Designer)
"HUMANIA INTERNATIONAL, INC.",http://www.jobstreet.com.ph/en/job/graphic-designer-cum-autocad-6720401?fr=21&src=16&srcr=16,Qatar - Doha,GRAPHIC DESIGNER CUM AUTOCAD
Devex Incorporated,http://www.jobstreet.com.ph/en/job/autocad-operator-6719033?fr=21&src=16&srcr=16,National Capital Reg - Mandaluyong City,Autocad Operator
Infotouch Systems Inc.,http://www.jobstreet.com.ph/en/job/autocad-operator-6715292?fr=21&src=16&srcr=16,National Capital Reg - Makati City,Autocad Operator
Hawaiian-Philippine Company,http://www.jobstreet.com.ph/en/job/cadet-engineer-6778372?fr=21&src=16&srcr=16,Western Visayas,Cadet Engineer
Optima Equipment Corporation,http://www.jobstreet.com.ph/en/job/project-service-engineer-6778431?fr=21&src=16&srcr=16,National Capital Reg - Metro Manila,Project / Service Engineer
International Pipe Industries Corporation,http://www.jobstreet.com.ph/en/job/materials-control-engineer-6778339?fr=21&src=16&srcr=16,National Capital Reg,MATERIALS CONTROL ENGINEER
International Pipe Industries Corporation,http://www.jobstreet.com.ph/en/job/draftsman-6778316?fr=21&src=16&srcr=16,National Capital Reg,DRAFTSMAN
I-FASHION MKTG. CO.,http://www.jobstreet.com.ph/en/job/industrial-engineer-6762812?fr=21&src=16&srcr=16,National Capital Reg - Pasig,INDUSTRIAL ENGINEER
"Bryan Isaiah Trading & Construction, Inc.",http://www.jobstreet.com.ph/en/job/engineer-estimator-6778134?fr=21&src=16&srcr=16,Pasay City  (National Capital Reg),Engineer - Estimator
Devex Incorporated,http://www.jobstreet.com.ph/en/job/site-engineer-6777997?fr=21&src=16&srcr=16,National Capital Reg - Mandaluyong City,Site Engineer
"R.T. Soncuya Construction Co., Inc.",http://www.jobstreet.com.ph/en/job/project-engineer-or-architect-6764606?fr=21&src=16&srcr=16,"National Capital Reg - Quezon City, San Juan, Makati City, Pasig, Manila",Project Engineer or Architect
Eagle Cement Corporation,http://www.jobstreet.com.ph/en/job/project-engineer-plant-based-civil-6777425?fr=21&src=16&srcr=16,Bulacan (Central Luzon),Project Engineer (Plant Based- Civil)
Eagle Cement Corporation,http://www.jobstreet.com.ph/en/job/mechanical-designer-6768481?fr=21&src=16&srcr=16,Bulacan (Central Luzon),Mechanical Designer
GLOBAL HOSPITALITY INTERIOR DESIGN FIRM,http://www.jobstreet.com.ph/en/job/project-designer-6777380?fr=21&src=16&srcr=16,National Capital Reg,Project Designer
GLOBAL HOSPITALITY INTERIOR DESIGN FIRM,http://www.jobstreet.com.ph/en/job/senior-resident-site-designer-6777360?fr=21&src=16&srcr=16,National Capital Reg,Senior Resident Site Designer
Company Confidential,http://www.jobstreet.com.my/en/job/mechanical-design-engineer-semiconductor-machinery-3098050?fr=21&src=16&srcr=16,"Johor, Kuala Lumpur, Melaka, Selangor",Mechanical Design Engineer (Semiconductor Machinery)
ixmation (Asia) Sdn. Bhd,http://www.jobstreet.com.my/en/job/application-engineer-3097850?fr=21&src=16&srcr=16,"Penang - Penang Science Park, Bukit Minyak",Application Engineer
Panasonic Asia Pacific Pte Ltd,http://www.jobstreet.com.my/en/job/rd-senior-engineer-mechanical-design-5467050/origin/sg?fr=21&src=16&srcr=16,"Tuas (West, Singapore)",R&D Senior / Engineer (Mechanical Design)
Truckquip Sdn Bhd,http://www.jobstreet.com.my/en/job/project-engineer-3097298?fr=21&src=16&srcr=16,Selangor - Seri Kembangan,Project Engineer
Micron (M) Sdn Bhd,http://www.jobstreet.com.my/en/job/product-executive-3078515?fr=21&src=16&srcr=16,Selangor - Shah Alam,Product Executive
Sum System Solution Sdn Bhd,http://www.jobstreet.com.my/en/job/project-engineer-3078434?fr=21&src=16&srcr=16,Selangor,Project Engineer
Company Confidential,http://www.jobstreet.com.my/en/job/tooling-design-engineer-3095151?fr=21&src=16&srcr=16,Selangor,Tooling Design Engineer
Mattel (M) Sdn Bhd,http://www.jobstreet.com.my/en/job/industrial-engineer-3096360?fr=21&src=16&srcr=16,Penang,Industrial Engineer
Attractive Venture (JB) Sdn Bhd,http://www.jobstreet.com.my/en/job/packaging-designer-3095560?fr=21&src=16&srcr=16,Johor - Kulai,Packaging Designer
V.S. Industry Berhad,http://www.jobstreet.com.my/en/job/senior-mechanical-engineer-rd-3094740?fr=21&src=16&srcr=16,Johor,Senior Mechanical Engineer (R&D)
Hays,http://www.jobstreet.com.my/en/job/fluid-dynamicist-new-product-development-5485205/origin/sg?fr=21&src=16&srcr=16,Singapore - Singapore,Fluid Dynamicist - New Product Development
GreatStar Recruitments Pte Ltd,http://www.jobstreet.com.my/en/job/cnc-programmer-urgent-woodlands-5482394/origin/sg?fr=21&src=16&srcr=16,North-East (Singapore),CNC Programmer (Urgent) - Woodlands
NI Malaysia Sdn Bhd,http://www.jobstreet.com.my/en/job/rd-mechanical-engineer-fresh-graduates-welcome-to-apply-3091763?fr=21&src=16&srcr=16,Penang,R&D Mechanical Engineer (Fresh graduates welcome to apply!)
PFT Manufacturing Sdn Bhd,http://www.jobstreet.com.my/en/job/mechanical-engineer-3091374?fr=21&src=16&srcr=16,Kuala Lumpur,Mechanical Engineer
Nolato EMC Production Center Sdn. Bhd.,http://www.jobstreet.com.my/en/job/project-manager-3088804?fr=21&src=16&srcr=16,Penang - Bukit Minyak,Project Manager
Henikwon Corporation Sdn Bhd,http://www.jobstreet.com.my/jobs/2016/10/default/10/3085933.htm?fr=21&src=16&srcr=16,Selangor,Internship for Mechanical Engineering Students
Agilent Technologies LDA Malaysia Sdn. Bhd.,http://www.jobstreet.com.my/en/job/sheet-metal-cost-modeling-engineer-expert-2068113-3090838?fr=21&src=16&srcr=16,Penang,Sheet Metal Cost Modeling Engineer – Expert - 2068113
Agilent Technologies LDA Malaysia Sdn. Bhd.,http://www.jobstreet.com.my/en/job/plastics-packaging-cost-modeling-engineer-expert-2068115-3090834?fr=21&src=16&srcr=16,Penang,Plastics & Packaging Cost Modeling Engineer – Expert – 2068115
Panasonic Management Malaysia Sdn Bhd,http://www.jobstreet.com.my/en/job/industrial-designer-3088694?fr=21&src=16&srcr=16,Selangor - Shah Alam,INDUSTRIAL DESIGNER
JobsJK Recruitment PLT,http://www.jobstreet.com.my/en/job/design-engineer-cnc-system-engineer-service-engineer-3086901?fr=21&src=16&srcr=16,"Bayan Lepas (Penang), Perai (Penang)",Design Engineer / CNC / System Engineer / Service Engineer
HKM HR Management Pte Ltd,http://www.jobstreet.com.sg/en/job/software-engineer-robotics-automation-5481939?fr=21&src=16&srcr=16,West - Bukit Batok,Software Engineer (Robotics Automation)
TBC HR Consulting (S) Pte Ltd - SG,http://www.jobstreet.com.sg/en/job/interior-design-sales-officer-mnc-me-up-28k-btn001oct-5481465?fr=21&src=16&srcr=16,Central,Interior Design Sales Officer (MNC M&E Up $2.8k!!) BTN001OCT
Achieve Success Pte Ltd,http://www.jobstreet.com.sg/en/job/senior-manufacturing-engineer-medical-mnc-six-sigma-green-belt-5478580?fr=21&src=16&srcr=16,Central,Senior Manufacturing Engineer / Medical MNC / Six-sigma Green Belt
Achieve Success Pte Ltd,http://www.jobstreet.com.sg/en/job/manufacturing-engineer-medical-mnc-six-sigma-green-belt-5478562?fr=21&src=16&srcr=16,Central,Manufacturing Engineer / Medical MNC / Six-sigma Green Belt
Talent Trader Group Pte Ltd,http://www.jobstreet.com.sg/en/job/production-engineer-metal-die-casting-precision-aerospace-manufacturing-5476547?fr=21&src=16&srcr=16,Singapore,Production Engineer (Metal / Die Casting / Precision / Aerospace / Manufacturing)
